animal,symptome,remede,phrase
cheval,non spécifié,ail,donnez 10 g à un animal de petite taille et 200 g à un cheval ou à un chameau.
ara,non spécifié,nigelle,"la graine de nigelle, la graine benie « habat al-barakah »"
chien,digestion,curcuma,"les consequences insoupconnees d’une mauvaise digestion chez votre animal de compagnie remedes & recettes les plantes medicinales la graine de nigelle, la graine benie  « habat al-barakah » triptyque de plantes pour proteger vos animaux de compagnie des tiques, des puces et des moustiques le chardon-marie, une pas si mauvaise herbe petit guide de la spiruline pour chiens et chats la pasteque : une excellente addition a l’alimentation de votre chien le feuilles d'olivier, un must dans la boite a pharmacie de snoopy les cenelles, un excellent tonique cardiaque l’aloe vera et ses bienfaits pour vos animaux de compagnie repulsifs naturel contre les mouches et les taons le curcuma pour chiens et chats les tops champignons comestibles et medicinaux l'ail, ses nombreux bienfaits et ses precautions d'usage les tops champignons comestibles et medicinaux le chaga : pourquoi ce champignon est-il  bon pour votre chien le neem (margousier), le remede ayurvedique tout usage gerer le stress et l'anxiete le fameux bouillon d'os de vmn edition speciale tiques!"
chien,stress,curcuma,"les consequences insoupconnees d’une mauvaise digestion chez votre animal de compagnie remedes & recettes les plantes medicinales la graine de nigelle, la graine benie  « habat al-barakah » triptyque de plantes pour proteger vos animaux de compagnie des tiques, des puces et des moustiques le chardon-marie, une pas si mauvaise herbe petit guide de la spiruline pour chiens et chats la pasteque : une excellente addition a l’alimentation de votre chien le feuilles d'olivier, un must dans la boite a pharmacie de snoopy les cenelles, un excellent tonique cardiaque l’aloe vera et ses bienfaits pour vos animaux de compagnie repulsifs naturel contre les mouches et les taons le curcuma pour chiens et chats les tops champignons comestibles et medicinaux l'ail, ses nombreux bienfaits et ses precautions d'usage les tops champignons comestibles et medicinaux le chaga : pourquoi ce champignon est-il  bon pour votre chien le neem (margousier), le remede ayurvedique tout usage gerer le stress et l'anxiete le fameux bouillon d'os de vmn edition speciale tiques!"
chien,digestion,spiruline,"les consequences insoupconnees d’une mauvaise digestion chez votre animal de compagnie remedes & recettes les plantes medicinales la graine de nigelle, la graine benie  « habat al-barakah » triptyque de plantes pour proteger vos animaux de compagnie des tiques, des puces et des moustiques le chardon-marie, une pas si mauvaise herbe petit guide de la spiruline pour chiens et chats la pasteque : une excellente addition a l’alimentation de votre chien le feuilles d'olivier, un must dans la boite a pharmacie de snoopy les cenelles, un excellent tonique cardiaque l’aloe vera et ses bienfaits pour vos animaux de compagnie repulsifs naturel contre les mouches et les taons le curcuma pour chiens et chats les tops champignons comestibles et medicinaux l'ail, ses nombreux bienfaits et ses precautions d'usage les tops champignons comestibles et medicinaux le chaga : pourquoi ce champignon est-il  bon pour votre chien le neem (margousier), le remede ayurvedique tout usage gerer le stress et l'anxiete le fameux bouillon d'os de vmn edition speciale tiques!"
chien,stress,spiruline,"les consequences insoupconnees d’une mauvaise digestion chez votre animal de compagnie remedes & recettes les plantes medicinales la graine de nigelle, la graine benie  « habat al-barakah » triptyque de plantes pour proteger vos animaux de compagnie des tiques, des puces et des moustiques le chardon-marie, une pas si mauvaise herbe petit guide de la spiruline pour chiens et chats la pasteque : une excellente addition a l’alimentation de votre chien le feuilles d'olivier, un must dans la boite a pharmacie de snoopy les cenelles, un excellent tonique cardiaque l’aloe vera et ses bienfaits pour vos animaux de compagnie repulsifs naturel contre les mouches et les taons le curcuma pour chiens et chats les tops champignons comestibles et medicinaux l'ail, ses nombreux bienfaits et ses precautions d'usage les tops champignons comestibles et medicinaux le chaga : pourquoi ce champignon est-il  bon pour votre chien le neem (margousier), le remede ayurvedique tout usage gerer le stress et l'anxiete le fameux bouillon d'os de vmn edition speciale tiques!"
chien,digestion,nigelle,"les consequences insoupconnees d’une mauvaise digestion chez votre animal de compagnie remedes & recettes les plantes medicinales la graine de nigelle, la graine benie  « habat al-barakah » triptyque de plantes pour proteger vos animaux de compagnie des tiques, des puces et des moustiques le chardon-marie, une pas si mauvaise herbe petit guide de la spiruline pour chiens et chats la pasteque : une excellente addition a l’alimentation de votre chien le feuilles d'olivier, un must dans la boite a pharmacie de snoopy les cenelles, un excellent tonique cardiaque l’aloe vera et ses bienfaits pour vos animaux de compagnie repulsifs naturel contre les mouches et les taons le curcuma pour chiens et chats les tops champignons comestibles et medicinaux l'ail, ses nombreux bienfaits et ses precautions d'usage les tops champignons comestibles et medicinaux le chaga : pourquoi ce champignon est-il  bon pour votre chien le neem (margousier), le remede ayurvedique tout usage gerer le stress et l'anxiete le fameux bouillon d'os de vmn edition speciale tiques!"
chien,stress,nigelle,"les consequences insoupconnees d’une mauvaise digestion chez votre animal de compagnie remedes & recettes les plantes medicinales la graine de nigelle, la graine benie  « habat al-barakah » triptyque de plantes pour proteger vos animaux de compagnie des tiques, des puces et des moustiques le chardon-marie, une pas si mauvaise herbe petit guide de la spiruline pour chiens et chats la pasteque : une excellente addition a l’alimentation de votre chien le feuilles d'olivier, un must dans la boite a pharmacie de snoopy les cenelles, un excellent tonique cardiaque l’aloe vera et ses bienfaits pour vos animaux de compagnie repulsifs naturel contre les mouches et les taons le curcuma pour chiens et chats les tops champignons comestibles et medicinaux l'ail, ses nombreux bienfaits et ses precautions d'usage les tops champignons comestibles et medicinaux le chaga : pourquoi ce champignon est-il  bon pour votre chien le neem (margousier), le remede ayurvedique tout usage gerer le stress et l'anxiete le fameux bouillon d'os de vmn edition speciale tiques!"
chien,digestion,chardon,"les consequences insoupconnees d’une mauvaise digestion chez votre animal de compagnie remedes & recettes les plantes medicinales la graine de nigelle, la graine benie  « habat al-barakah » triptyque de plantes pour proteger vos animaux de compagnie des tiques, des puces et des moustiques le chardon-marie, une pas si mauvaise herbe petit guide de la spiruline pour chiens et chats la pasteque : une excellente addition a l’alimentation de votre chien le feuilles d'olivier, un must dans la boite a pharmacie de snoopy les cenelles, un excellent tonique cardiaque l’aloe vera et ses bienfaits pour vos animaux de compagnie repulsifs naturel contre les mouches et les taons le curcuma pour chiens et chats les tops champignons comestibles et medicinaux l'ail, ses nombreux bienfaits et ses precautions d'usage les tops champignons comestibles et medicinaux le chaga : pourquoi ce champignon est-il  bon pour votre chien le neem (margousier), le remede ayurvedique tout usage gerer le stress et l'anxiete le fameux bouillon d'os de vmn edition speciale tiques!"
chien,stress,chardon,"les consequences insoupconnees d’une mauvaise digestion chez votre animal de compagnie remedes & recettes les plantes medicinales la graine de nigelle, la graine benie  « habat al-barakah » triptyque de plantes pour proteger vos animaux de compagnie des tiques, des puces et des moustiques le chardon-marie, une pas si mauvaise herbe petit guide de la spiruline pour chiens et chats la pasteque : une excellente addition a l’alimentation de votre chien le feuilles d'olivier, un must dans la boite a pharmacie de snoopy les cenelles, un excellent tonique cardiaque l’aloe vera et ses bienfaits pour vos animaux de compagnie repulsifs naturel contre les mouches et les taons le curcuma pour chiens et chats les tops champignons comestibles et medicinaux l'ail, ses nombreux bienfaits et ses precautions d'usage les tops champignons comestibles et medicinaux le chaga : pourquoi ce champignon est-il  bon pour votre chien le neem (margousier), le remede ayurvedique tout usage gerer le stress et l'anxiete le fameux bouillon d'os de vmn edition speciale tiques!"
